bank,base_url,pdf_url,resolved_pdf_url
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Pre-close_December_2012_Trading_Statement_vFINAL.pdf,https://av.sc.com/corp-en/nr/content/docs/Pre-close_December_2012_Trading_Statement_vFINAL.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC-IMS_Q1_30_Apr_2019.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC-IMS_Q1_30_Apr_2019.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2009-Half-Year-Results-Presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/2009-Half-Year-Results-Presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2005-Half-Year-Results-Presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/2005-Half-Year-Results-Presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2012-Pillar-3-Disclosures.pdf,https://av.sc.com/corp-en/nr/content/docs/2012-Pillar-3-Disclosures.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2010-Half-Year-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2010-Half-Year-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-1q-2021-pillar_3_disclosure.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-1q-2021-pillar_3_disclosure.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/20230406-SCPLC-Announcement-Presentation-of-financial-information.pdf,https://av.sc.com/corp-en/nr/content/docs/20230406-SCPLC-Announcement-Presentation-of-financial-information.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard_chartered_plc_pillar3_full_year_2022_report.pdf,https://av.sc.com/corp-en/nr/content/docs/standard_chartered_plc_pillar3_full_year_2022_report.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_1_Nov_2017_FINAL.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_1_Nov_2017_FINAL.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Half_Year_Report_2014.pdf,https://av.sc.com/corp-en/nr/content/docs/Half_Year_Report_2014.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2011.pdf,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2011.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2015-Results-Presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/2015-Results-Presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2008-Half-Year-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2008-Half-Year-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2019-pillar3.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2019-pillar3.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/modern-slavery-statement.pdf,https://av.sc.com/corp-en/nr/content/docs/modern-slavery-statement.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-hy-2022-transcript.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-hy-2022-transcript.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2002-Results-Presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/2002-Results-Presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/annual-review-2003.pdf,https://av.sc.com/corp-en/nr/content/docs/annual-review-2003.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-pillar3-half-year-2021-Report.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-pillar3-half-year-2021-Report.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Full_Year_2017_Press_Release.pdf,https://av.sc.com/corp-en/nr/content/docs/Full_Year_2017_Press_Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2011-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2011-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/SCPLC-Full-year-2021-main-features.pdf,https://av.sc.com/corp-en/nr/content/docs/SCPLC-Full-year-2021-main-features.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/SCB_RA_2004_low.pdf,https://av.sc.com/corp-en/nr/content/docs/SCB_RA_2004_low.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q1_8_May_2014_FINAL.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q1_8_May_2014_FINAL.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-4q-2022-transcript.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-4q-2022-transcript.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_28_Oct_2014.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_28_Oct_2014.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2008-Pillar-3-Disclosures.pdf,https://av.sc.com/corp-en/nr/content/docs/2008-Pillar-3-Disclosures.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2022-results.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2022-results.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2020-pillar3-disclosure.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2020-pillar3-disclosure.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2002-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2002-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2014.pdf,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2014.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_Dec_2013_Pre-close_Trading_Statement.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_Dec_2013_Pre-close_Trading_Statement.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2009.pdf,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2009.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2021-results.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2021-results.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-1q-2020-presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-1q-2020-presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2003-Results-Presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/2003-Results-Presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/hk/nr/content/docs/2018-Roadshow-Presentation-v2.pdf,https://av.sc.com/hk/nr/content/docs/2018-Roadshow-Presentation-v2.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2011-Half-Year-Report.pdf,https://av.sc.com/corp-en/nr/content/docs/2011-Half-Year-Report.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/pillar-3-disclosures-2016.pdf,https://av.sc.com/corp-en/nr/content/docs/pillar-3-disclosures-2016.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2014-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2014-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2010.pdf,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2010.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2012-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2012-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2009-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2009-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_2019_G-SII-_disclosure.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_2019_G-SII-_disclosure.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2013-Pillar-3-Disclosures.pdf,https://av.sc.com/corp-en/nr/content/docs/2013-Pillar-3-Disclosures.pdf
