Company	Count
Maritime & Merchant Bank ASA	45
PayPay Bank Co., Ltd	44
Mercantile Investments And Finance PLC	44
Bank Spoldzielczy W Lubartowie	44
ICBC Turkey Bank A S.	43
Sterling Investments Limited	43
Cathay United Bank Co Ltd	43
IGM Financial Inc	42
Kalika Laghubitta Bittiya Sanstha Limited	42
Yeni Gimat Gayrimenkul Yatirim Ortakligi A.S.	41
Kt Kira Sertifikalari Varlik Kiralama A.S	40
Tsuruoka Shinkin Bank	40
SBAB Bank AB	40
Central Bank of Azerbaijan Republic	40
Tyme Bank	40
Bank of Tokyo-Mitsubishi UFJ Turkey A.S.	40
Raiffeisenbank Frankenhardt - Stimpfach eG	39
Cholamandalam Investment and Finance Company Limited	39
BTA Bank JSC	39
Caja Progressa	38
UAB BANK LIMITED	38
CREDIT SUISSE BANK (EUROPE) SA	38
THE BANK OF NOVA SCOTIA, HONG KONG SAR BRANCH	38
PT Mandiri Tunas Finance	38
Cassa Centrale Banca Credito Cooperativo Italiano SpA	37
Sumitomo Mitsui Finance & Leasing Company Limited	36
Volksbank Euskirchen eG	35
Pobiedzisko-Goslinski Bank Spoldzielczy W Pobiedziskach	35
Banco Moneo SA	35
VR Bank eG Heuberg-Winterlingen	35
Ishimaki Shoko Credit Cooperative	35
Bank of Tanzania	35
Development Bank of Kenya Ltd	35
Raiffeisenbank Lech-Ammersee Eg	35
Tokyo Shinkin Bank	35
Seishin Shinkin Bank	35
Sparkasse Bank Makedonija A.D.	34
Bangladesh Industrial Finance Company Limited	34
Alliance Investment Bank Berhad	33
Guotai Junan International Holdings Limited	32
Ecobank Côte-d'Ivoire	32
Yamagata Chuo Credit Cooperative	32
VR Bank zwischen den Meeren eG	32
Moldindconbank SA	32
The Access Bank UK Limited	32
Imari Shinkin Bank	32
BNP Paribas Leasing Solutions AS	32
Raiffeisen-Volksbank Hassberge eG	31
Raiffeisenlandesbank Niederösterreich-Wien AG	31
Bank Millennium	31
Volksbank Dinslaken eG	31
VR Bank Westkuste eG	30
Banca S. Biagio del Veneto Orientale di Cesarolo e Fossalta di Portogruaro - Banca di Credito Cooperativo	30
Country Group Holdings Public Company Limited	30
Japan Post Bank Co Ltd	30
JSC MICROFINANCE ORGANISATION LAZIKA CAPITAL	30
Raiffeisenbank Aadorf	30
Banca Raiffeisen Valposchiavo Societa Cooperativa	30
Banco VOII S.A.	29
Meldal Sparebank	29
Nurbank JSC	29
HSBC Bank Malta Plc	29
Banque Raiffeisen Sarine-Ouest	29
Volksbank Bösel EG	28
Vereinte Volksbank eG	28
Bank of Communications Co., Ltd Hong Kong Branch	28
Tinn Sparebank	28
City Bank Ltd	28
National Building Society Limited	27
Volksbank Emstal eG	27
Mizuho International Plc	27
Thanh Hoa Microfinance Institution Limited Liability	27
PT Yuanta Sekuritas Indonesia	27
Volksbank eG; Köthen - Bitterfeld	27
Banco Bradescard SA	27
Bank Spoldzielczy W Otwocku	26
Volksbank Ulm-Biberach eG	26
Haitong Bank SA	26
Raiffeisenbank Wegenstettertal	26
Raiffeisen-Volksbank eG	26
Kita Osaka Shinkin Bank	25
Arab Investment Company SAA (The)	25
Volksbank Chemnitz eG	25
Raiffeisenbank Nidwalden Genossenschaft	25
Raiffeisenbank Aare-Reuss	25
Joint-Stock Innovation Commercial Bank Ipak Yuli	25
TIB Development Bank Limited	25
Industrial and Commercial Bank of China (Malaysia) Berhad	25
Ujjivan Small Finance Bank Limited	24
Bank Spoldzielczy W Nowym Targu	24
Bank of Africa - Madagascar	24
Fondsdepot Bank GmbH	24
Trinidad And Tobago Mortgage Finance Company Limited	24
Raiffeisen Banka ad Beograd	24
Tri City Bankshares Corporation	23
DUCA Financial Services Credit Union Ltd	23
Volksbank Nottuln eG	23
ABS Factoring Bank AG	23
Bank Polska Kasa Opieki SA	23
Banco BAI Europa SA	23
Volksbank Uelzen - Salzwedel eG	23
Wakayamaken Ishi Credit Cooperative	23
Minato Bank Ltd	23
Stroemmen Sparebank	23
Volksbank Ochtrup-Laer eG	23
Hokuhoku Financial Group Inc.	22
Raiffeisenbank Ostprignitz-Ruppin eG	22
Banco Pan S.A.	22
Euro Bank SA	22
Volksbank im Bergischen Land eG	21
Raiffeisenbank Freiburg Ost	21
Raiffeisenbank Biebergrund-Petersberg eG	21
PT Bank BTPN Tbk	21
Bank of Handan Co Ltd	21
Phillip Bank PLC	21
Volksbank eG, Syke	21
HSBC Bank Bermuda Limited	21
